player_id,team_id,league_id,position,role,fielding_ratings_infield_range,fielding_ratings_infield_arm,fielding_ratings_turn_doubleplay,fielding_ratings_outfield_range,fielding_ratings_outfield_arm,fielding_ratings_catcher_arm,fielding_ratings_catcher_ability,fielding_ratings_infield_error,fielding_ratings_outfield_error,fielding_experience0,fielding_experience1,fielding_experience2,fielding_experience3,fielding_experience4,fielding_experience5,fielding_experience6,fielding_experience7,fielding_experience8,fielding_experience9,fielding_rating_pos1,fielding_rating_pos2,fielding_rating_pos3,fielding_rating_pos4,fielding_rating_pos5,fielding_rating_pos6,fielding_rating_pos7,fielding_rating_pos8,fielding_rating_pos9
29,11,100,6,0,186,170,188,11,13,0,0,136,4,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,183,0,0,0
30,27,100,4,0,75,81,119,18,8,0,0,117,8,0,0,0,0,200,200,200,0,0,0,0,0,0,78,54,10,0,0,0
31,12,100,7,0,3,1,18,65,99,0,0,7,112,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,70,1,54
32,30,100,7,0,107,120,129,60,109,0,0,124,112,0,0,0,0,146,118,200,200,200,0,0,0,0,83,60,76,67,1,0
33,28,100,4,0,80,81,118,6,6,0,0,109,3,0,0,0,0,200,200,200,0,0,0,0,0,0,79,54,38,0,0,0
34,27,100,7,0,10,4,16,59,109,0,0,16,112,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,66,1,52
35,23,100,3,0,34,81,65,16,15,0,0,65,8,0,0,0,200,0,200,0,0,0,0,0,0,77,0,1,0,0,0,0
36,19,100,5,0,80,81,115,20,17,0,0,129,12,0,0,0,0,200,200,200,0,0,0,0,0,0,85,60,43,0,0,0
37,27,100,7,0,3,1,13,102,48,0,0,5,114,0,0,0,0,0,0,0,160,200,200,0,0,0,0,0,0,82,31,64
38,26,100,2,0,4,17,17,5,12,109,53,7,16,0,0,200,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
39,8,100,4,0,75,37,120,59,109,0,0,114,113,0,0,0,0,200,0,0,200,0,0,0,0,0,75,0,0,66,0,0
40,14,100,6,0,113,119,127,118,109,0,0,118,116,0,0,0,0,128,115,200,115,200,0,0,0,0,75,58,80,78,65,0
41,16,100,2,0,3,6,2,4,3,109,50,18,18,0,0,200,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
42,19,100,2,0,18,11,5,8,15,109,53,20,5,0,0,200,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
43,22,100,7,0,17,18,19,79,108,0,0,20,112,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,89,1,72
44,10,100,2,0,11,1,14,14,6,107,61,3,16,0,0,200,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
45,14,100,3,0,37,55,65,16,10,0,0,63,10,0,0,0,200,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0
46,27,100,5,0,74,108,76,58,109,0,0,112,113,0,0,0,0,0,200,0,200,0,0,0,0,0,0,65,0,65,0,0
47,1,100,7,0,19,6,7,59,109,0,0,18,112,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,66,1,0
48,1,100,7,0,8,17,19,80,121,0,0,8,79,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,88,0,0
49,5,100,4,0,79,81,119,7,18,0,0,111,16,0,0,0,0,200,200,0,0,0,0,0,0,0,80,55,0,0,0,0
50,1,100,2,0,11,19,1,15,11,108,60,3,2,0,0,200,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
51,15,100,7,0,7,18,6,58,109,0,0,9,113,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,65,1,0
52,2,100,7,0,72,81,121,58,109,0,0,115,113,0,0,0,0,200,200,0,200,0,0,0,0,0,76,52,0,65,0,0
53,22,100,5,0,74,108,76,74,110,0,0,112,114,0,0,0,97,0,200,0,200,0,0,0,0,55,0,65,0,84,0,0
54,22,100,7,0,4,11,13,58,109,0,0,13,113,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,65,0,0
55,7,100,7,0,18,6,17,74,110,0,0,18,114,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,84,0,0
56,29,100,4,0,77,61,119,1,13,0,0,112,3,0,0,0,0,200,0,200,0,0,0,0,0,0,77,0,19,0,0,0
57,29,100,3,0,28,52,65,17,11,0,0,65,9,0,0,0,200,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0
58,25,100,7,0,31,53,65,124,104,0,0,63,136,0,0,0,200,0,0,0,200,200,0,0,0,92,0,0,0,145,77,0
59,2,100,4,0,73,81,121,88,109,0,0,115,119,0,0,0,0,200,200,200,109,0,200,0,0,0,76,53,1,55,0,83
60,21,100,4,0,78,81,119,88,110,0,0,111,119,0,0,0,152,200,200,0,0,0,200,0,0,106,79,54,0,0,0,83
61,24,100,9,0,10,1,5,72,109,0,0,5,117,0,0,0,0,0,0,0,151,0,200,0,0,0,0,0,0,62,0,66
62,23,100,5,0,71,106,76,13,2,0,0,113,11,0,0,0,150,182,200,0,0,0,0,0,0,88,54,63,0,0,0,0
63,17,100,2,0,48,60,66,4,4,109,50,66,6,0,0,200,200,0,0,0,0,0,0,0,38,76,0,0,0,0,0,0
64,17,100,4,0,151,95,121,17,18,0,0,144,11,0,0,0,0,200,0,91,0,0,0,0,0,0,154,0,56,0,0,0
65,12,100,7,0,48,60,66,74,110,0,0,66,114,0,0,0,200,0,0,0,200,0,0,0,0,96,0,0,0,84,0,0
66,20,100,8,0,11,9,12,115,109,0,0,1,118,0,0,0,0,0,0,0,76,200,96,0,0,0,0,0,0,50,61,53
67,24,100,4,0,75,37,120,16,18,0,0,114,12,0,0,0,0,200,0,0,0,0,0,0,0,0,75,0,0,0,0,0
68,5,100,5,0,101,130,72,9,3,0,0,91,12,0,0,0,0,200,200,0,0,0,0,0,0,0,78,88,0,0,0,0
69,5,100,7,0,3,14,12,82,121,0,0,6,99,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,93,0,79
70,18,100,7,0,19,11,9,78,81,0,0,15,132,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,84,1,62
71,27,100,2,0,2,7,8,5,5,108,56,9,4,0,0,200,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
72,5,100,7,0,4,6,12,79,108,0,0,9,112,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,89,1,72
73,7,100,7,0,6,7,3,58,109,0,0,8,113,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,65,0,0
74,29,100,9,0,19,17,16,88,110,0,0,20,119,0,0,0,0,0,0,0,175,0,200,0,0,0,0,0,0,88,0,83
75,1,100,4,0,80,41,118,18,8,0,0,110,16,0,0,0,0,200,0,0,0,0,0,0,0,0,77,0,0,0,0,0
76,20,100,7,0,1,17,15,61,108,0,0,3,111,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,68,1,54
77,4,100,4,0,78,39,119,15,17,0,0,112,6,0,0,0,0,200,0,0,0,0,0,0,0,0,76,0,0,0,0,0
78,26,100,2,0,1,13,3,17,6,109,52,6,9,0,0,200,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
79,24,100,3,0,32,81,65,10,13,0,0,65,17,0,0,0,200,0,200,0,0,0,0,0,0,80,0,1,0,0,0,0
80,23,100,2,0,7,3,11,3,8,109,50,9,13,0,0,200,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
81,5,100,9,0,12,9,6,81,107,0,0,19,134,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,77
82,1,100,4,0,103,81,131,9,6,0,0,111,9,0,0,0,0,200,200,200,0,0,0,0,0,0,105,69,66,0,0,0
83,1,100,7,0,31,53,65,71,98,0,0,64,132,0,0,0,200,0,0,0,200,0,0,0,0,69,0,0,0,80,0,0
84,6,100,2,0,12,10,13,17,17,112,98,2,4,0,0,200,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0
85,24,100,8,0,11,20,3,169,109,0,0,9,77,0,0,0,0,0,0,0,108,200,132,0,0,0,0,0,0,102,142,105
86,12,100,6,0,150,134,127,18,11,0,0,125,7,0,0,0,0,200,0,200,0,0,0,0,0,0,152,0,121,0,0,0
87,21,100,3,0,67,53,56,9,15,0,0,37,11,0,0,0,200,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0
88,27,100,6,0,108,120,129,4,1,0,0,124,17,0,0,0,0,92,121,200,0,0,0,0,0,0,53,61,77,0,0,0
89,14,100,9,0,20,16,14,88,109,0,0,7,119,0,0,0,0,0,0,0,175,200,200,0,0,0,0,0,0,88,1,83
90,21,100,9,0,18,2,12,79,109,0,0,8,112,0,0,0,0,0,0,0,135,200,200,0,0,0,0,0,0,60,1,73
91,13,100,5,0,102,131,102,12,12,0,0,131,12,0,0,0,0,0,200,0,0,0,0,0,0,0,0,104,0,0,0,0
92,25,100,4,0,117,70,132,15,5,0,0,111,15,0,0,0,0,200,0,0,0,0,0,0,0,0,116,0,0,0,0,0
93,24,100,5,0,98,128,71,15,8,0,0,118,8,0,0,0,0,0,200,0,0,0,0,0,0,0,0,92,0,0,0,0
94,29,100,7,0,5,16,10,91,79,0,0,17,120,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,97,0,0
95,8,100,2,0,33,57,65,14,19,122,107,75,9,0,0,200,200,0,0,0,0,0,0,0,99,100,0,0,0,0,0,0
96,12,100,3,0,37,81,73,6,15,0,0,68,19,0,0,0,200,0,200,0,0,0,0,0,0,87,0,7,0,0,0,0
97,4,100,5,0,90,121,76,6,5,0,0,115,12,0,0,0,0,200,200,0,0,0,0,0,0,0,78,83,0,0,0,0
98,6,100,4,0,73,35,105,11,11,0,0,105,19,0,0,0,0,200,0,0,0,0,0,0,0,0,64,0,0,0,0,0
99,12,100,7,0,7,6,14,71,90,0,0,16,164,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,83,1,0
100,29,100,2,0,3,20,12,2,9,109,54,3,7,0,0,200,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
101,25,100,1,12,30,39,43,4,4,0,0,45,10,0,200,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0
102,29,100,1,12,30,39,42,6,13,0,0,45,19,0,200,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0
103,5,100,1,12,29,39,42,8,9,0,0,47,17,0,200,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
104,29,100,9,0,42,59,68,88,98,0,0,67,103,0,0,0,200,0,0,0,118,0,200,0,0,85,0,0,0,56,0,76
105,15,100,2,0,18,17,7,2,1,126,71,6,6,0,0,200,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
106,11,100,7,0,20,3,1,66,119,0,0,1,106,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,75,0,0
107,9,100,1,11,34,38,42,2,10,0,0,38,12,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
108,28,100,7,0,11,6,17,62,125,0,0,18,101,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,71,0,0
109,29,100,1,11,31,43,48,2,7,0,0,52,5,0,200,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0
110,3,100,2,0,4,5,7,14,11,111,62,13,2,0,0,200,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
111,6,100,1,11,34,42,41,15,9,0,0,52,4,0,200,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0
112,17,100,1,11,30,38,42,19,15,0,0,43,1,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
113,28,100,7,0,72,81,121,74,110,0,0,115,114,0,0,0,85,200,200,0,200,0,200,0,0,57,76,52,0,84,0,68
114,14,100,1,13,29,37,43,12,6,0,0,41,9,0,200,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
115,22,100,6,0,149,128,132,17,12,0,0,105,18,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,115,0,0,0
116,22,100,1,11,31,41,46,10,3,0,0,47,20,0,200,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0
117,26,100,1,12,29,38,44,17,9,0,0,43,1,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
118,5,100,4,0,81,42,123,7,4,0,0,111,16,0,0,0,0,200,0,0,0,0,0,0,0,0,80,0,0,0,0,0
119,30,100,7,0,80,81,121,121,145,0,0,114,117,0,0,0,0,200,200,200,180,200,0,0,0,0,82,56,40,133,75,0
120,24,100,7,0,74,81,120,70,100,0,0,114,116,0,0,0,0,200,200,0,200,0,200,0,0,0,77,53,0,77,0,60
121,30,100,1,11,35,46,50,18,10,0,0,54,5,0,200,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0
122,16,100,1,11,36,42,44,6,19,0,0,48,3,0,200,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0
123,28,100,3,0,96,76,57,72,111,0,0,75,119,0,0,0,200,0,0,0,200,0,200,0,0,163,0,0,0,82,0,68
124,25,100,7,0,16,20,18,75,86,0,0,20,197,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,92,0,0
125,5,100,5,0,113,140,74,3,8,0,0,138,17,0,0,0,0,0,200,0,0,0,0,0,0,0,0,115,0,0,0,0
126,22,100,1,11,32,37,40,18,5,0,0,40,8,0,200,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
127,29,100,1,11,32,44,47,7,15,0,0,54,12,0,200,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0
128,12,100,5,0,77,110,75,4,10,0,0,107,8,0,0,0,0,166,200,200,0,0,0,0,0,0,52,67,7,0,0,0
129,16,100,1,11,34,44,45,3,13,0,0,54,4,0,200,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
130,16,100,4,0,72,81,121,3,17,0,0,115,20,0,0,0,0,200,200,200,0,0,0,0,0,0,76,52,1,0,0,0
131,22,100,1,12,30,37,42,19,3,0,0,40,7,0,200,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
132,30,100,1,11,32,38,41,16,8,0,0,41,5,0,200,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
133,21,100,7,0,5,3,15,64,113,0,0,19,119,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,73,1,60
134,19,100,1,11,29,39,43,17,1,0,0,47,17,0,200,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
135,14,100,2,0,7,15,2,4,4,127,77,4,5,0,0,200,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
136,15,100,5,0,84,116,73,10,2,0,0,114,20,0,0,0,104,200,200,0,0,0,0,0,0,64,71,76,0,0,0,0
137,15,100,7,0,38,53,65,88,112,0,0,56,119,0,0,0,200,0,0,0,200,0,200,0,0,79,0,0,0,101,0,84
138,8,100,1,13,29,38,43,19,13,0,0,44,15,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
139,13,100,1,12,30,39,43,9,2,0,0,44,16,0,200,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
140,26,100,3,0,103,98,114,5,7,0,0,78,17,0,0,0,200,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0
141,14,100,7,0,12,19,16,70,102,0,0,12,110,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,77,1,0
142,7,100,1,11,33,43,48,17,3,0,0,48,10,0,200,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0
143,25,100,5,0,131,155,107,5,17,0,0,188,17,0,0,0,0,0,200,0,0,0,0,0,0,0,0,153,0,0,0,0
144,29,100,5,0,72,106,76,12,15,0,0,115,1,0,0,0,0,200,200,200,0,0,0,0,0,0,61,64,1,0,0,0
145,13,100,1,12,29,38,43,9,15,0,0,43,13,0,200,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
146,9,100,5,0,97,127,84,19,8,0,0,142,9,0,0,0,0,0,200,0,0,0,0,0,0,0,0,100,0,0,0,0
147,28,100,8,0,11,16,17,128,133,0,0,6,124,0,0,0,0,0,0,0,184,200,0,0,0,0,0,0,0,142,86,0
148,25,100,2,0,9,19,1,1,11,121,85,6,13,0,0,200,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0
149,17,100,7,0,17,13,14,80,167,0,0,5,56,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,95,0,0
150,20,100,1,11,34,42,40,8,10,0,0,54,4,0,200,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
151,2,100,1,11,32,39,41,2,10,0,0,44,16,0,200,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
152,7,100,7,0,6,1,3,102,78,0,0,2,197,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,122,46,0
153,2,100,1,12,29,39,43,17,14,0,0,45,20,0,200,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
154,11,100,4,0,117,126,133,9,19,0,0,128,11,0,0,0,0,188,0,200,0,0,0,0,0,0,118,0,89,0,0,0
155,17,100,1,12,29,39,44,20,14,0,0,44,16,0,200,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
156,14,100,6,0,107,120,129,18,18,0,0,124,5,0,0,0,0,91,113,200,0,0,0,0,0,0,52,57,76,0,0,0
157,17,100,1,11,33,40,48,1,14,0,0,40,2,0,200,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
158,28,100,1,12,30,38,42,7,19,0,0,44,3,0,200,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
159,2,100,6,0,138,125,114,14,20,0,0,124,12,0,0,0,0,200,0,200,0,0,0,0,0,0,136,0,103,0,0,0
160,5,100,4,0,94,62,119,5,10,0,0,120,15,0,0,0,0,200,0,200,0,0,0,0,0,0,94,0,54,0,0,0
161,21,100,1,11,33,41,44,20,12,0,0,48,5,0,200,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
162,25,100,1,12,29,38,44,12,6,0,0,43,9,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
163,13,100,1,11,29,34,40,18,6,0,0,33,13,0,200,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
164,2,100,1,11,32,40,48,10,16,0,0,41,13,0,200,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
165,4,100,7,0,1,1,12,71,99,0,0,9,123,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,79,0,62
166,20,100,4,0,168,109,137,5,11,0,0,90,11,0,0,0,0,200,0,0,0,0,0,0,0,0,157,0,0,0,0,0
167,4,100,3,0,47,59,66,11,4,0,0,66,20,0,0,0,200,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0
168,11,100,4,0,91,81,122,58,110,0,0,116,114,0,0,0,0,200,200,0,200,0,0,0,0,0,93,63,0,65,0,0
169,19,100,1,11,33,40,47,19,15,0,0,41,2,0,200,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0
170,17,100,8,0,2,4,18,143,103,0,0,3,123,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,106,0
171,11,100,2,0,5,7,7,2,17,104,64,11,11,0,0,200,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
172,21,100,4,0,87,46,119,58,109,0,0,100,113,0,0,0,0,200,0,0,200,0,0,0,0,0,80,0,0,65,0,0
173,10,100,8,0,20,10,20,142,62,0,0,16,151,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,103,0
174,28,100,1,12,32,39,43,15,10,0,0,42,5,0,200,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
175,9,100,1,12,29,38,43,3,19,0,0,42,4,0,200,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
176,29,100,1,12,29,38,44,9,8,0,0,43,13,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
177,22,100,7,0,19,11,7,61,105,0,0,12,108,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,66,0,52
178,19,100,3,0,50,81,68,61,109,0,0,61,110,0,0,0,200,200,200,0,200,0,0,0,0,86,20,18,0,68,0,0
179,21,100,2,0,16,11,11,3,19,128,84,17,1,0,0,200,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0
180,19,100,1,12,29,39,43,5,2,0,0,47,7,0,200,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
181,1,100,1,12,29,39,44,13,11,0,0,44,12,0,200,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
182,30,100,7,0,31,53,65,73,102,0,0,65,113,0,0,0,200,0,0,0,200,0,200,0,0,72,0,0,0,81,0,64
183,17,100,2,0,4,8,3,5,4,106,73,15,15,0,0,200,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
184,10,100,9,0,7,19,10,98,96,0,0,1,175,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,39,96
185,9,100,3,0,62,99,104,9,20,0,0,131,13,0,0,0,200,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0
186,24,100,1,11,34,43,41,20,13,0,0,54,16,0,200,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
187,10,100,7,0,19,5,4,63,112,0,0,15,108,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,70,0,0
188,7,100,1,11,30,39,45,12,13,0,0,43,19,0,200,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
189,15,100,7,0,18,1,19,58,109,0,0,11,113,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,65,0,0
190,18,100,7,0,8,4,6,62,112,0,0,15,99,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,68,0,0
191,17,100,1,12,31,38,43,12,15,0,0,42,3,0,200,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
192,22,100,4,0,86,81,116,20,5,0,0,111,13,0,0,0,0,200,200,0,0,0,0,0,0,0,85,58,0,0,0,0
193,7,100,1,11,33,43,46,8,20,0,0,52,1,0,200,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0
194,26,100,1,11,31,39,41,8,6,0,0,47,3,0,200,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
195,29,100,2,0,6,8,7,18,12,118,58,10,1,0,0,200,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
196,10,100,1,11,29,38,45,4,19,0,0,41,6,0,200,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
197,15,100,1,12,29,39,44,2,10,0,0,44,16,0,200,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
198,14,100,1,12,29,37,43,18,8,0,0,41,9,0,200,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
199,23,100,1,12,32,38,42,1,1,0,0,40,19,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
200,11,100,1,13,31,38,42,10,3,0,0,41,3,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
201,20,100,9,0,77,111,58,88,109,0,0,84,119,0,0,0,96,0,200,0,112,0,200,0,0,63,0,58,0,56,0,83
202,25,100,3,0,62,63,94,16,1,0,0,33,18,0,0,0,200,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0
