gameSimEvent|idGame|pitchLocation|pitchName|pitchOutcome|playerHitter|playerPitcher|playerRunner|playerRunner1|playerRunner2|playerRunner3|teamDefense|teamOffense
pitch|1|{"ax":17.03409624583449,"ay":-32.145980576609674,"az":22.402396023665766,"pfxX":5.6248811407728265,"pfxZ":-4.141197641934847,"plateX":-0.7073879101674628,"plateZ":1.517349405830166,"releaseSpeed":77.81717618075923,"releasePosX":1.426447439528852,"releasePosY":53.86653660571642,"releasePosZ":6.80768114735487,"szBot":1.354,"szTop":3.0620000000000003,"vx0":-6.916209568351577,"vy0":-114.18634404318459,"vz0":3.692808535387565}|screwball|STRIKE|302|331|||||1|2
pitch|1|{"ax":19.951082077642603,"ay":-24.377812408975146,"az":42.95073489773209,"pfxX":-9.442346106263981,"pfxZ":-10.255429116272104,"plateX":-1.4170943250528825,"plateZ":2.695880727890864,"releaseSpeed":70.55626558971045,"releasePosX":-0.3619489271300563,"releasePosY":51.83170564852934,"releasePosZ":6.95281996683264,"szBot":1.354,"szTop":3.0620000000000003,"vx0":-5.342442364891291,"vy0":-103.53192460125555,"vz0":0.2489750494601637}|curveball|BALL|302|331|||||1|2
pitch|1|{"ax":-14.658954638107549,"ay":-4.58071024433913,"az":-14.566700529480855,"pfxX":6.933676007910822,"pfxZ":-11.618994534602567,"plateX":-0.04333939611412123,"plateZ":2.832606908060734,"releaseSpeed":78.7817811333963,"releasePosX":-0.659573173607498,"releasePosY":54.13930621673298,"releasePosZ":6.949212580740918,"szBot":1.354,"szTop":3.0620000000000003,"vx0":0.06841316051709612,"vy0":-115.60177336603388,"vz0":7.326236375425941}|curveball|STRIKE|302|331|||||1|2
pitch|1|{"ax":16.544927346571356,"ay":-22.395479121863048,"az":-8.605562422855451,"pfxX":-3.750616255438908,"pfxZ":-7.538496532079818,"plateX":-0.6132069947673068,"plateZ":2.2646184128309983,"releaseSpeed":96.77890647110402,"releasePosX":-1.1666363360816978,"releasePosY":51.92798857302098,"releasePosZ":5.663747744752137,"szBot":1.354,"szTop":3.0620000000000003,"vx0":1.113546541187592,"vy0":-142.01015833269278,"vz0":8.998551917801198}|sinker|STRIKE|302|331|||||1|2
strikeout|1||||302|331|||||1|2
atBatEnd|1||||||||||1|2
atBatStart|1|||||||||||
pitch|1|{"ax":9.782747672271618,"ay":-7.864029457487817,"az":30.021643432978564,"pfxX":-9.603676728035186,"pfxZ":-4.899973044813935,"plateX":-1.0500515040165077,"plateZ":3.50980061302717,"releaseSpeed":82.17608996236032,"releasePosX":1.743379449896476,"releasePosY":51.089483137229294,"releasePosZ":5.391024743392558,"szBot":1.814,"szTop":4.442,"vx0":-1.1151532104253974,"vy0":-120.58246959218063,"vz0":2.875596396008401}|changeup|STRIKE|242|331|||||1|2
pitch|1|{"ax":16.054801269699325,"ay":-2.1211074530199028,"az":-0.25974814136851165,"pfxX":7.310785400984045,"pfxZ":-8.963290867738696,"plateX":0.00402034824227613,"plateZ":1.8639482729655652,"releaseSpeed":89.45597252193059,"releasePosX":0.07825005653899723,"releasePosY":51.436219100452206,"releasePosZ":6.683989220239307,"szBot":1.814,"szTop":4.442,"vx0":-3.8240401511706557,"vy0":-131.26472787164008,"vz0":-4.022504951846467}|sinker|STRIKE|242|331|||||1|2
pitch|1|{"ax":-8.043875653607074,"ay":-19.038469228441247,"az":29.682587474276417,"pfxX":-7.966950675300836,"pfxZ":-7.9193955746624045,"plateX":-0.5706938330977834,"plateZ":3.346165837126976,"releaseSpeed":89.44784421525738,"releasePosX":0.41167676037208206,"releasePosY":51.93831675817044,"releasePosZ":5.407440531849976,"szBot":1.814,"szTop":4.442,"vx0":7.450283159323337,"vy0":-131.25280066394856,"vz0":-4.5060878793518}|sinker|STRIKE|242|331|||||1|2
strikeout|1||||242|331|||||1|2
atBatEnd|1||||||||||1|2
atBatStart|1|||||||||||
pitch|1|{"ax":-6.270037681336111,"ay":-11.681705989368432,"az":-9.236386096760258,"pfxX":2.2238579033621804,"pfxZ":14.937615786950794,"plateX":-1.127530494436887,"plateZ":2.304250848977604,"releaseSpeed":97.50294546730375,"releasePosX":-1.907040140963651,"releasePosY":51.21208505329223,"releasePosZ":6.888591327271109,"szBot":1.354,"szTop":3.0620000000000003,"vx0":-2.160961343901892,"vy0":-143.07258914782156,"vz0":-0.4776889663663395}|fastball|BALL|302|331|||||1|2
pitch|1|{"ax":-2.4424459717933686,"ay":-31.289280401867114,"az":36.30101816900826,"pfxX":-10.076315237936413,"pfxZ":3.3643436044290915,"plateX":1.1179286095776797,"plateZ":2.5901087730008774,"releaseSpeed":86.65572948463561,"releasePosX":-1.4488163094676205,"releasePosY":50.36347801834737,"releasePosZ":5.073124692154798,"szBot":1.354,"szTop":3.0620000000000003,"vx0":1.7188594266220925,"vy0":-127.15574408998295,"vz0":3.583858613832163}|slider|BALL|302|331|||||1|2
pitch|1|{"ax":-7.301070809546335,"ay":-4.096673779113317,"az":-16.151079837758466,"pfxX":3.8791917739692057,"pfxZ":14.503043257846555,"plateX":-0.22023317662691994,"plateZ":1.5692361838547466,"releaseSpeed":90.73188830023004,"releasePosX":1.6478052816100668,"releasePosY":54.3607515901354,"releasePosZ":5.451152995554439,"szBot":1.354,"szTop":3.0620000000000003,"vx0":-0.5768638397821313,"vy0":-133.13696437753185,"vz0":2.177814317097991}|fastball|IN_PLAY|302|331|||||1|2
out|1||||302|331|||||1|2
atBatEnd|1||||||||||1|2
halfInningEnd|1|||||||||||
halfInningStart|1|||||||||||
atBatStart|1|||||||||||
pitch|1|{"ax":-16.23683146489529,"ay":-28.629834725148534,"az":20.375367482569274,"pfxX":-2.785675019131395,"pfxZ":-11.686813997321515,"plateX":1.3207358806906464,"plateZ":2.38355461319265,"releaseSpeed":77.8860096527331,"releasePosX":-0.8130067944142784,"releasePosY":51.002242169361324,"releasePosZ":5.11293881207823,"szBot":1.875,"szTop":4.625,"vx0":0.34439363201892803,"vy0":-114.28734799755884,"vz0":9.960133547112134}|splitter|IN_PLAY|331|242|||||2|1
single|1||||331|242|||||2|1
atBatEnd|1||||||||||2|1
atBatStart|1|||||||||||
pitch|1|{"ax":11.457085511998596,"ay":-3.5844930571738303,"az":-7.696627226494391,"pfxX":8.906917993042057,"pfxZ":-0.7921934274397664,"plateX":-0.7963105620557142,"plateZ":2.675366616511331,"releaseSpeed":92.28748542471261,"releasePosX":-0.8193648846972206,"releasePosY":53.70478446419079,"releasePosZ":6.748792267414526,"szBot":1.444,"szTop":3.332,"vx0":7.792208804369071,"vy0":-135.41959601705767,"vz0":-4.09613722759096}|sinker|STRIKE|361|242|||||2|1
pitch|1|{"ax":10.391346773927847,"ay":-2.829266628809293,"az":28.84928375434427,"pfxX":10.902212426984136,"pfxZ":-8.973021831627818,"plateX":0.8206053106968446,"plateZ":1.9336828742995549,"releaseSpeed":70.75363306123899,"releasePosX":0.6602552038340272,"releasePosY":50.690204768273176,"releasePosZ":5.026590099955027,"szBot":1.444,"szTop":3.332,"vx0":5.852080576588211,"vy0":-103.82153508460874,"vz0":-2.260495841693536}|curveball|STRIKE|361|242|||||2|1
pitch|1|{"ax":-4.691432811414558,"ay":-6.916799138336387,"az":30.464815853874576,"pfxX":-14.908467244611321,"pfxZ":-5.243018441540935,"plateX":-0.7473331244711292,"plateZ":3.1794574550925465,"releaseSpeed":69.73221256229641,"releasePosX":0.6312298138039933,"releasePosY":54.758487671558385,"releasePosZ":5.409337985270804,"szBot":1.444,"szTop":3.332,"vx0":-4.781412541080345,"vy0":-102.32273651301709,"vz0":0.7848841451438817}|curveball|STRIKE|361|242|||||2|1
strikeout|1||||361|242|||||2|1
atBatEnd|1||||||||||2|1
atBatStart|1|||||||||||
pitch|1|{"ax":-5.538268908893436,"ay":-7.811674363332294,"az":4.176615123823968,"pfxX":-10.931542293036253,"pfxZ":-4.203389282885176,"plateX":-1.4596478024632034,"plateZ":3.3347650398169684,"releaseSpeed":82.07487988266608,"releasePosX":-1.7717239270562708,"releasePosY":54.406831391597294,"releasePosZ":5.40449479222606,"szBot":1.875,"szTop":4.625,"vx0":-9.941232942977189,"vy0":-120.43395727719044,"vz0":-2.8865132500394655}|slider|BALL|331|242|||||2|1
pitch|1|{"ax":-18.570136249444907,"ay":-26.102069675924366,"az":-6.548856088355883,"pfxX":-14.635350432722007,"pfxZ":-10.224819158686492,"plateX":-1.4449932908370136,"plateZ":4.153321846205343,"releaseSpeed":70.90950478130995,"releasePosX":1.830356262282523,"releasePosY":50.83834653901009,"releasePosZ":6.835114575669696,"szBot":1.875,"szTop":4.625,"vx0":5.7630721224604,"vy0":-104.05025607820126,"vz0":5.005888980361407}|curveball|IN_PLAY|331|242|||||2|1
double|1||||331|242||331|||2|1
atBatEnd|1||||||||||2|1
atBatStart|1|||||||||||
pitch|1|{"ax":17.73034181178251,"ay":-37.00108628755544,"az":48.653686420894175,"pfxX":13.07464550082155,"pfxZ":-5.393836988592689,"plateX":-1.187338336086182,"plateZ":1.9878524777100188,"releaseSpeed":71.04286741253978,"releasePosX":-1.118434550291034,"releasePosY":51.59140143085469,"releasePosZ":5.162293232120297,"szBot":1.444,"szTop":3.332,"vx0":-9.982994888101224,"vy0":-104.24594798119115,"vz0":-4.00840041378933}|curveball|STRIKE|361|242|||||2|1
pitch|1|{"ax":-10.869556045423007,"ay":-7.4697038397488384,"az":30.068083014466083,"pfxX":4.596944315974323,"pfxZ":-7.23866649929648,"plateX":0.2767233091115485,"plateZ":2.6188324914686434,"releaseSpeed":91.17343628330904,"releasePosX":-0.8800619777895685,"releasePosY":51.64519192680782,"releasePosZ":6.675067280628663,"szBot":1.444,"szTop":3.332,"vx0":0.8922774957733655,"vy0":-133.7848772469261,"vz0":-4.252362902958288}|sinker|STRIKE|361|242|||||2|1
pitch|1|{"ax":-1.5257455903045312,"ay":-32.950615229577295,"az":24.816575092036665,"pfxX":-6.138918229601561,"pfxZ":-0.5210522476706991,"plateX":-0.15041927163292632,"plateZ":1.6255370801700526,"releaseSpeed":79.2191053358745,"releasePosX":0.22708305867693762,"releasePosY":54.620479863517275,"releasePosZ":5.5759987175311085,"szBot":1.444,"szTop":3.332,"vx0":5.5619344383458635,"vy0":-116.24348839982787,"vz0":5.649701020190566}|slider|STRIKE|361|242|||||2|1
strikeout|1||||361|242|||||2|1
atBatEnd|1||||||||||2|1
atBatStart|1|||||||||||
pitch|1|{"ax":-1.3488311127323414,"ay":-5.47561374290045,"az":-19.43257066000148,"pfxX":6.103673544773052,"pfxZ":-0.3175950931432432,"plateX":-1.2722748940259871,"plateZ":2.821049914699577,"releaseSpeed":86.33935167498947,"releasePosX":1.7258628108949783,"releasePosY":53.2786726579731,"releasePosZ":6.35602848909343,"szBot":1.875,"szTop":4.625,"vx0":4.993407970585611,"vy0":-126.69150178265522,"vz0":4.798868440401927}|sinker|STRIKE|331|242|||||2|1
pitch|1|{"ax":-5.2880750978023485,"ay":-12.637988274354871,"az":-17.105086061151795,"pfxX":-10.957100803809476,"pfxZ":2.0278918571633753,"plateX":-1.2298734222943886,"plateZ":3.8551714514395106,"releaseSpeed":80.58094613770297,"releasePosX":-0.5691499000069167,"releasePosY":53.1523721091995,"releasePosZ":6.547127712116988,"szBot":1.875,"szTop":4.625,"vx0":-1.5284992371921433,"vy0":-118.24180843611929,"vz0":7.098605715291473}|slider|STRIKE|331|242|||||2|1
pitch|1|{"ax":16.459164097376913,"ay":-23.45425151965577,"az":5.295338289758988,"pfxX":2.160624881018091,"pfxZ":-2.2039812821419593,"plateX":1.0997936003184106,"plateZ":2.9052974139166214,"releaseSpeed":84.11262568453203,"releasePosX":0.1751408137594415,"releasePosY":54.90406554370423,"releasePosZ":5.396488698074417,"szBot":1.875,"szTop":4.625,"vx0":8.240330402686524,"vy0":-123.42407789868317,"vz0":3.516843284310749}|sinker|BALL|331|242|||||2|1
pitch|1|{"ax":9.801661183094534,"ay":-0.716693784675158,"az":22.09082272511644,"pfxX":-1.5936145662929988,"pfxZ":-7.94466322123295,"plateX":-1.3706821178281539,"plateZ":3.4757390980214584,"releaseSpeed":86.42036640487065,"releasePosX":-1.0909092963866467,"releasePosY":50.052522029398055,"releasePosZ":5.78284557436659,"szBot":1.875,"szTop":4.625,"vx0":5.842389503077062,"vy0":-126.81038011097299,"vz0":-0.6468219928977668}|sinker|BALL|331|242|||||2|1
pitch|1|{"ax":14.124948802767165,"ay":-31.822500515462224,"az":34.97228536470588,"pfxX":-5.2568564232977835,"pfxZ":-8.780508004970791,"plateX":0.4336445700764539,"plateZ":2.482011448966502,"releaseSpeed":72.32925953955579,"releasePosX":1.166809493427921,"releasePosY":52.500989963719626,"releasePosZ":6.795803400014797,"szBot":1.875,"szTop":4.625,"vx0":0.904836135386546,"vy0":-106.1335571338118,"vz0":-3.8877675418742093}|curveball|STRIKE|331|242|||||2|1
strikeout|1||||331|242|||||2|1
atBatEnd|1||||||||||2|1
halfInningEnd|1|||||||||||
halfInningStart|1|||||||||||
atBatStart|1|||||||||||
pitch|1|{"ax":-15.333801956355675,"ay":-37.72054492504455,"az":3.4247126658318017,"pfxX":12.604857182193022,"pfxZ":-1.67006518093606,"plateX":-0.28576278391352034,"plateZ":4.133873226698049,"releaseSpeed":74.97974210242454,"releasePosX":1.9057667031002683,"releasePosY":52.08403896641259,"releasePosZ":5.736812359663816,"szBot":1.814,"szTop":4.442,"vx0":-7.178637165983169,"vy0":-110.02278736109707,"vz0":2.290900482151609}|screwball|STRIKE|242|331|||||1|2
pitch|1|{"ax":-2.8653259757567966,"ay":-13.856322109635531,"az":15.108271155450083,"pfxX":-11.345597152145784,"pfxZ":3.0318383244763503,"plateX":-1.408416191917599,"plateZ":3.0928339651882526,"releaseSpeed":79.61001754879341,"releasePosX":-1.4818362497609305,"releasePosY":50.55895926998492,"releasePosZ":5.4637453346392615,"szBot":1.814,"szTop":4.442,"vx0":-9.32879461168258,"vy0":-116.81710001908469,"vz0":-0.7977108419442152}|slider|STRIKE|242|331|||||1|2
pitch|1|{"ax":-7.978329217104076,"ay":-8.218303780943856,"az":10.670175415539909,"pfxX":-13.102556563851248,"pfxZ":0.910123375911259,"plateX":0.7129304937790142,"plateZ":1.8427210299700905,"releaseSpeed":81.10459661344429,"releasePosX":-0.5947848139159356,"releasePosY":54.26383399924935,"releasePosZ":6.920824483225629,"szBot":1.814,"szTop":4.442,"vx0":-0.8326354677156989,"vy0":-119.01019578086799,"vz0":9.141588761095322}|slider|STRIKE|242|331|||||1|2
strikeout|1||||242|331|||||1|2
atBatEnd|1||||||||||1|2
atBatStart|1|||||||||||
pitch|1|{"ax":10.344733438556442,"ay":-39.46646830946384,"az":8.870864717897668,"pfxX":-6.1353684196893425,"pfxZ":-3.8810799381730146,"plateX":-1.1855865901382316,"plateZ":2.1215541687460773,"releaseSpeed":72.71356320512164,"releasePosX":-0.8433724050544302,"releasePosY":51.68672157596998,"releasePosZ":5.278027252626217,"szBot":1.354,"szTop":3.0620000000000003,"vx0":-3.4354248734424964,"vy0":-106.6974715898109,"vz0":8.699144142172281}|changeup|STRIKE|302|331|||||1|2
pitch|1|{"ax":-16.73692227674746,"ay":-39.3722067940858,"az":5.315927016553342,"pfxX":12.209559972823488,"pfxZ":-6.86781508727749,"plateX":-1.1190158533551042,"plateZ":2.2274512523686614,"releaseSpeed":75.35211639411385,"releasePosX":0.9011037056903212,"releasePosY":52.37071766967424,"releasePosZ":5.474453182669837,"szBot":1.354,"szTop":3.0620000000000003,"vx0":5.876248223435265,"vy0":-110.56919704942737,"vz0":3.469307844664769}|screwball|STRIKE|302|331|||||1|2
pitch|1|{"ax":-16.663209486902222,"ay":-19.723199795047435,"az":31.270283520080802,"pfxX":-4.764403986869976,"pfxZ":0.9666251578875995,"plateX":0.04150364359869563,"plateZ":1.7006831239484004,"releaseSpeed":76.91926868988936,"releasePosX":1.982909451550547,"releasePosY":50.78522449267736,"releasePosZ":5.898834519107635,"szBot":1.354,"szTop":3.0620000000000003,"vx0":2.4609078139716605,"vy0":-112.86878436415874,"vz0":0.3289334767115246}|changeup|IN_PLAY|302|331|||||1|2
out|1||||302|331|||||1|2
atBatEnd|1||||||||||1|2
atBatStart|1|||||||||||
pitch|1|{"ax":-1.1859737492082374,"ay":-1.9707738103905115,"az":-6.08281957877589,"pfxX":-1.284872731732146,"pfxZ":12.480811202174408,"plateX":1.4625027736278007,"plateZ":3.124867039940123,"releaseSpeed":94.54050651867318,"releasePosX":0.8917560992647441,"releasePosY":54.229212937160476,"releasePosZ":5.541108554938479,"szBot":1.814,"szTop":4.442,"vx0":8.764411687059066,"vy0":-138.72560446400956,"vz0":-2.4516819890594}|fastball|IN_PLAY|242|331|||||1|2
out|1||||242|331|||||1|2
atBatEnd|1||||||||||1|2
halfInningEnd|1|||||||||||
halfInningStart|1|||||||||||
atBatStart|1|||||||||||
pitch|1|{"ax":2.5519189885561424,"ay":-24.311857292306552,"az":22.047829723241513,"pfxX":5.50794692746736,"pfxZ":-0.8147421503339132,"plateX":-0.8278100722552435,"plateZ":1.8654074955419515,"releaseSpeed":89.42699345120762,"releasePosX":-1.168629313250348,"releasePosY":50.00113682323138,"releasePosZ":6.097787529441411,"szBot":1.444,"szTop":3.332,"vx0":5.728295958088225,"vy0":-131.22220494415762,"vz0":9.37341265503993}|sinker|STRIKE|361|242|||||2|1
pitch|1|{"ax":-16.292595568268155,"ay":-8.79424020885839,"az":-11.063345537750921,"pfxX":-2.877547510609803,"pfxZ":-6.26286708002276,"plateX":-0.9390233127672879,"plateZ":2.74212375528154,"releaseSpeed":69.24298399385154,"releasePosX":-1.4052649014803618,"releasePosY":52.6233735955744,"releasePosZ":6.871693395625728,"szBot":1.444,"szTop":3.332,"vx0":7.365402294751458,"vy0":-101.60485873366363,"vz0":6.793556615245231}|curveball|IN_PLAY|361|242|||||2|1
double|1||||361|242|||||2|1
atBatEnd|1||||||||||2|1
atBatStart|1|||||||||||
pitch|1|{"ax":-4.675149523954376,"ay":-0.10595644982983998,"az":17.347570319452956,"pfxX":-4.089867796204905,"pfxZ":-6.814573871762317,"plateX":1.0345812563190984,"plateZ":3.54670137014006,"releaseSpeed":71.49075422270835,"releasePosX":-1.1784839091700516,"releasePosY":50.812223121952314,"releasePosZ":5.261097859381678,"szBot":1.875,"szTop":4.625,"vx0":-5.116287025622626,"vy0":-104.90316223527196,"vz0":-1.809163980478604}|curveball|BALL|331|242|||||2|1
pitch|1|{"ax":-14.395792192447786,"ay":-36.30377330164583,"az":-11.109996669822483,"pfxX":6.120439913111294,"pfxZ":-3.7103851252723343,"plateX":1.09156180064496,"plateZ":4.205838803737327,"releaseSpeed":86.70834931542188,"releasePosX":-0.08784402421122214,"releasePosY":54.36406935003659,"releasePosZ":6.750093248947518,"szBot":1.875,"szTop":4.625,"vx0":4.281907889738552,"vy0":-127.23295668489513,"vz0":7.755869051593036}|sinker|STRIKE|331|242|||||2|1
pitch|1|{"ax":4.015923458820801,"ay":-32.69533414809291,"az":-1.4393307702173672,"pfxX":-5.925095838407813,"pfxZ":2.581215788027741,"plateX":-1.4915592271769318,"plateZ":1.9416172783340788,"releaseSpeed":76.59484457999514,"releasePosX":-0.3644457790801964,"releasePosY":50.06604711232218,"releasePosZ":6.7326670736616245,"szBot":1.875,"szTop":4.625,"vx0":2.6220876851458392,"vy0":-112.39273518264854,"vz0":-2.540987998487369}|slider|STRIKE|331|242|||||2|1
pitch|1|{"ax":-8.664925198819123,"ay":-4.008922549065666,"az":16.634200302733554,"pfxX":9.79929905509832,"pfxZ":-11.823035313822798,"plateX":0.5441960534617133,"plateZ":2.066539919777889,"releaseSpeed":69.45557978268906,"releasePosX":1.7860480187198906,"releasePosY":51.818014487624865,"releasePosZ":5.427221045701104,"szBot":1.875,"szTop":4.625,"vx0":-7.011890257098658,"vy0":-101.91681474489107,"vz0":-3.301233211136436}|curveball|STRIKE|331|242|||||2|1
strikeout|1||||331|242|||||2|1
atBatEnd|1||||||||||2|1
atBatStart|1|||||||||||
pitch|1|{"ax":-0.47705779113534774,"ay":-39.97059438095241,"az":40.5657918545075,"pfxX":4.313205639667274,"pfxZ":-8.637783570194898,"plateX":-0.16675638299723644,"plateZ":2.043288678359019,"releaseSpeed":78.23277152479434,"releasePosX":-1.7949244543732552,"releasePosY":54.22901621272217,"releasePosZ":5.216572534058311,"szBot":1.444,"szTop":3.332,"vx0":-6.736742263959201,"vy0":-114.79617487059096,"vz0":0.8135649861655816}|splitter|STRIKE|361|242|||||2|1
pitch|1|{"ax":-14.428600897996482,"ay":-18.165652876178694,"az":5.5174412874191745,"pfxX":7.4680084279921815,"pfxZ":-11.199302120734112,"plateX":0.9327256665866219,"plateZ":2.6310520088002445,"releaseSpeed":65.14159089866173,"releasePosX":0.8864970660906614,"releasePosY":53.817050830860886,"releasePosZ":5.680855502820161,"szBot":1.444,"szTop":3.332,"vx0":-7.304692708930736,"vy0":-95.58661050096201,"vz0":-0.9805135859524912}|curveball|STRIKE|361|242|||||2|1
